,date,info,text,target
242,1528,The book of the Courtier,then the soul freed from vice purged by studies of true philosophy versed in spiritual life and practised in matters of the intellect devoted to the contemplation of her own substance as if awakened from deepest sleep opens those eyes which all possess but few use and sees in herself a ray of that light which is the true image of the angelic beauty communicated to her and of which she then communicates a faint shadow to the body,0
188,1569,Planine,his goodly frame the earth seems to me a sterile promontory this most excellent canopy the air look you this brave o erhanging firmament this majestical roof fretted with golden fire why it appears no other thing to me than a foul and pestilent congregation of vapours what a piece of work is a man how noble in reason how infinite in faculty in form and moving how express and admirable in action how like an angel in apprehension how like a god the beauty of the world the paragon of animals and yet to me what is this quintessence of dus,0
189,1603,Hamlet,f one lives where all suffer and starve one acts on one s own impulse to help but where plenty abounds we surrender our generosity believing that our country replaces us each and several this is not so and indeed a delusion on the contrary the power of maintaining life in others lives within each of us and from each of us does it recede when unused it is a concentrated power if you are not acquainted with it your majesty can have no inkling of what it is like what it portends or the ways in which it slips from one,0
188,1569,Planine,his goodly frame the earth seems to me a sterile promontory this most excellent canopy the air look you this brave o erhanging firmament this majestical roof fretted with golden fire why it appears no other thing to me than a foul and pestilent congregation of vapours what a piece of work is a man how noble in reason how infinite in faculty in form and moving how express and admirable in action how like an angel in apprehension how like a god the beauty of the world the paragon of animals and yet to me what is this quintessence of dus,0
237,1623,macbeth,mine eyes are made the fools o the other senses or else worth all the rest i see thee still and on thy blade and dudgeon gouts of blood which was not so before there s no such thing it is the bloody business which informs thus to mine eyes now o er the one halfworld nature seems dead and wicked dreams abuse the curtain d sleep witchcraft celebrates pale hecate s offerings and wither d murder alarum d by his sentinel the wolf whose howl s his watch thus with his stealthy pace with tarquin s ravishing strides towards his design moves like a ghost thou sure and firm set earth hear not my steps which way they walk for fear thy very stones prate of my whereabout and take the present horror from the time which now suits with it whiles i threat he lives words to the heat of deeds too cold breath gives,0
174,1532,Gargantua and Pantagruel,high and mighty guzzlers and you o all you precious pox ridden while you have the leisure and i have nothing else more important to do let me ask you a question why does everybody say as if it were proverbially true that the world is no longer flat understand please that flat here means without zest unsalted insipid washed out taking it metaphorically it signifies crazy foolish senseless rot brained would you argue as indeed one might logically infer that if we say that the world has been flat now we have to say that it s become wise what was it that made it flat why was it flat why should it be wise what do you think ancient stupidity was what do you think constitutes our present wisdom what made it flat what has made it wise are there more lovers of flatness or more lovers of wisdom just exactly when was it flat just exactly when was it wise who s responsible for that earlier flatness who s responsible for that later wisdom why did that ancient flatness end right now and not at some other time why did our present wisdom begin right now and not sooner what harm did our earlier flatness do us what good is this new wisdom how did we get rid of our ancient flatness how was our present wisdom brought about,0
235,1623,King JOhn,es that i will and wherefore will i do it i tore them from their bonds and cried aloud o that these hands could so redeem my son as they have given these hairs their liberty but now i envy at their liberty and will again commit them to their bonds because my poor child is a prisoner and father cardinal i have heard you say that we shall see and know our friends in heaven if that be true i shall see my boy again for since the birth of cain the first male child to him that did but yesterday suspire there was not such a gracious creature born but now will canker sorrow eat my bud and chase the native beauty from his cheek and he will look as hollow as a ghost as dim and meagre as an ague s fit and so he ll die and rising so again when i shall meet him in the court of heaven i shall not know him therefore never never must i behold my pretty arthur more,0
122,1622,othello,ad it pleased heaven to try me with affliction had they rain d all kinds of sores and shames on my bare head steep d me in poverty to the very lips given to captivity me and my utmost hopes i should have found in some place of my soul a drop of patience but alas to make me a fixed figure for the time of scorn to point his slow unmoving finger at yet could i bear that too well very well but there where i have garner d up my heart where either i must live or bear no life the fountain from the which my current runs or else dries up to be discarded thence or keep it as a cistern for foul toads to knot and gender in turn thy complexion there patience thou young and rose lipp d cherubin ay there look grim as hell,0
134,1590,the faerie queen ,who travels by the wearie wandring way to come unto his wished home in haste and meetes a flood that doth his passage stay is not great grace to helpe him over past or free his feet that in the myre sticke fast most envious man that grieves at neighbours good and fond that joyest in the woe thou hast why wilt not let him passe that long hath stood upon the banke yet wilt thy selfe not passe the flood,0
199,1594,The Rape of LUcrere,er lily hand her rosy cheek lies under cozening the pillow of a lawful kiss who therefore angry seems to part in sunder swelling on either side to want his bliss between whose hills her head entombed is where like a virtuous monument she lies to be admired of lewd unhallowed eyes without the bed her other fair hand was on the green coverlet whose perfect white showed like an april daisy on the grass with pearly sweat resembling dew of night her eyes like marigolds had sheathed their light and canopied in darkness sweetly lay,0
