,date,info,target,text
472,1916,"['THEACORN-PLANTER', 'ACaliforniaForestPlay', 'PlannedToBeSungByEfficientSingers', 'AccompaniedByACapableOrchestra', 'ByJackLondon', '1916', 'ARGUMENT', 'Inthemorningoftheworld,whilehistribe', 'makesitscampforthenightinagrove,Red', 'Cloud,thefirstmanofmen,andthef']",3,lean meat and fat meat haunch meat and knuckle bone liver and heart food for the old men life for all men for women and babes easement of hunger pangs sorrow destroying laughter provoking joy invoking in the smell of its smoking and its sweet in the mouth the younger women take charge of the meat and the older women resume their acorn pounding red cloud approaches the acorn pounders and watches them with pleasure all group about him the shaman to the fore and hang upon his every action his every utterance red cloud the heart of the acorn is good first old woman nodding it is good food red cloud when you have pounded and winnowed and washed away the bitter second old woman as thou taught st us red cloud when the world was very young and thou wast the first man red cloud it is a fat food it makes life and life is good shaman it was thou red cloud gathering the acorns and teaching the storing who gavest life to the nishinam in the lean years aforetime when the tribes not of the nishinam passed like the dew of the morning he nods a signal to the old man old man in the famine in the old time when the old man was a young man when the heavens ceased from raining when the grasslands parched and withered when the fishes left the river and the wild meat died of sickness in the tribes that knew not acorns all their women went dry breasted all their younglings chewed the deer hides all their old men sighed and perished and the young men died beside them till they died by tribe and totem and o er all was death upon them yet the nishinam unvanquished did not perish by the famine oh the acorns red cloud gave them oh the acorns red cloud taught them how to store in willow baskets gainst the time and need of famine shaman who throughout the old man s recital has nodded approbation turning to red cloud sing to thy people red cloud the song of life which is the song of the acorn red cloud making ready to begin and which is the song of woman o shaman shaman hushing the people to listen solemnly he sings with his father s lips and with the lips of his father s fathers to the beginning of time and men song of the first man red cloud i am red cloud the first man of the nishinam my father was the coyote my mother was the moon the coyote danced with the stars and wedded the moon on a mid summer night the coyote is very wise the moon is very old mine is his wisdom mine is her age i am the first man i am the life maker and the father of life i am the fire bringer the nishinam were the first men and they were without fire and knew the bite of the frost of bitter nights the panther stole the fire from the east the fox stole the fire from the panther the ground squirrel stole the fire from the fox and i red cloud stole the fire from the ground squirrel i red cloud stole the fire for the nishinam and hid it in the heart of the wood to this day is the fire there in the heart of the wood i am the acorn planter i brought down the acorns from heaven i planted the short acorns in the valley i planted the long acorns in the valley i planted the black oak acorns that sprout that sprout i planted the sho kum and all the roots of the ground i planted the oat and the barley the beaver tail grass nut the tar weed and crow foot rock lettuce and ground lettuce and i taught the virtue of clover in the season of blossom the yellow flowered clover ball rolled in its yellow dust i taught the cooking in baskets by hot stones from the fire took the bite from the buckeye and soap root by ground roasting and washing in the sweetness of water and of the manzanita the berry i made into flour taught the way of its cooking with hot stones in sand pools and the way of its eating with the knobbed tail of the deer taught i likewise the gathering and storing the parching and pounding of the seeds from the grasses and grass roots and taught i the planting of seeds in the nishinam home camps in the nishinam hills and their valleys in the due times and seasons to sprout in the spring rains and grow ripe in the sun shaman hail red cloud the first man the people hail red cloud the first man shaman who showedst us the way of our feet in the world the people who showedst us the way of our feet in the world shaman who showedst us the way of our food in the world the people who showedst us the way of our food in the world shaman who showedst us the way of our hearts in the world the people who showedst us the way of our hearts in the world shaman who gavest us the law of family the people who gavest us the law of family shaman the law of tribe the people the law of tribe shaman the law of totem the people the law of totem shaman and madest us strong in the world among men the people and madest us strong in the world among men red cloud life is good o shaman and i have sung but half its song acorns are good so is woman good strength is good beauty is good so is kindness good yet are all these things without power except
366,1919,"['THEPLAYSOFJ.M.BARRIE', 'ALICESIT-BY-THE-FIRE', 'I', ""OnewouldliketopeepcovertlyintoAmy'sdiary(octavo,withthe"", ""word'Amy'ingoldletterswanderingacrossthesoftbrownleather"", ""covers,asifitwasalongwordand,inAmy'sopinion,rathera"", 'dear).Totakesuchaliberty,andallowth']",3,she and ginevra look into each other s eyes they always do this when they meet though they meet several times a day and it is worth doing for what they see in those pellucid pools is love eternal thus they loved at school in their last two terms and thus they will love till the grave encloses them these thoughts and others even more beautiful are in their minds as they gaze at each other now no man will ever be able to say amy or to say ginevra with such a trill as they are saying it ginevra my beloved my amy my better self my other me there is something almost painful in love like this are you well ginevra quite well amy heavens the joy of amy because ginevra is quite well how did my amy sleep i had a good night how happy is ginevra because amy has had a good night all this time they have been slowly approaching each other drawn by a power stronger than themselves their intention is to kiss they do so cosmo snorts and betakes himself to some other room his bedroom probably where a man may be alone with mannish things his razor for instance the maidens do not resent his rudeness they know that poor cosmo s time will come and they are glad to be alone for they have much to say that is for no other mortal ears some of it is sure to go into the diary indeed if we were to put our ear to the drawer where the diary is we could probably hear its little heart ticking in unison with theirs it is ginevra who speaks first she is indeed the bolder of the two she grips amy s hand and says quite firmly amy shall we go to another to night this does not puzzle amy she is prepared for it her honest grey eyes even tell that she has wanted it but now that it is come she quails a little another theatre she murmurs ginevra that would be five in one week ginevra does not blanch yes she says recklessly but it is also only eight in seventeen years isn t it says amy comforted and they have taught us so much haven t they until monday dear when we went to our first real play we didn t know what life is we were two raw unbleached school girls amy absolutely unbleached it is such a phrase as this that gives ginevra the moral ascendancy in their discussions of course amy ventures looking perhaps a little unbleached even now of course i had my diary dear and i do think that even before monday there were things in it of a not wholly ordinary kind nothing persists ginevra cruelly that necessitated your keeping it locked no i suppose not sadly enough you are quite right ginevra but we have made up for lost time every night since monday including the matinee has been a revelation she closes her eyes so that she may see the revelations more clearly so does ginevra amy that heart gripping scene when the love maddened woman visited the man in his chambers she wasn t absolutely love maddened ginevra she really loved her husband best all the time not till the last act darling please don t say it ginevra she was most foolish especially in the crepe de chine but we know that she only went to the man s chambers to get back her letters how i trembled for her then i was strangely calm says ginevra the stony hearted oh ginevra i had such a presentiment that the husband would call at those chambers while she was there and he did ginevra you remember his knock upon the door surely you trembled then ginevra knits her lips triumphantly not even then amy somehow i felt sure that in the nick of time her lady friend would step out from somewhere and say that the letters were hers nobly compromising herself ginevra amy how i love that bit where she says so unexpectedly with noble self renunciation he is my affianced husband isn t it glorious strange ginevra that it happened in each play that was because we always went to the thinking theatres amy real plays are always about a lady and two men and alas only one of them is her husband that is life you know it is called the odd odd triangle yes i know appealingly ginevra i hope it wasn t wrong of me to go a month ago i was only a school girl we both were yes but you are now an art student in lodgings with a latchkey of your own you have no one dependent on you while i have a brother and sister to to form you must leave it to the navy dear to form cosmo if it can and as the sister is only a baby time enough to form her when she can exit from her pram i am in a mother s place for the time being ginevra even mothers go to thinking theatres whether mine does ginevra i don t even know this is a very strange position i am in awaiting the return from india of parents i have not seen since i was twelve years old i don t even know if they will like the house the rent is what they told me to give but perhaps my scheme of decoration won t appeal to them they may think my housekeeping has been defective and may not make allowance for my being so new to it ginevra takes amy in her arms my ownest amy if they are not both on their knees to you for the noble way in which you have striven to prepare this house for them darling ginevra all i ask is to be allowed to do my duty listen then amy your duty is to be able to help your parents in every way when they return your mother having been so long in india can know little about life how sweet then for you to be able to place your knowledge at her feet i had thought of that dearest then amy it would be simply wrong of us not to go to another theatre to night i have three and ninepence so that if you can scrape together one and threepence generous girl it can t be why not amy the return of cosmo handling the telegram more pugnaciously than ever provides the answer cosmo show miss dunbar the telegram miss d
1517,1915,"['THERAINBOW', 'BYD.H.LAWRENCE', 'THE', 'MODERNLIBRARY', 'NEWYORK', 'COPYRIGHT,1915,BYD.H.LAWRENCE', 'RandomHouseisthepublisherof', 'THEMODERNLIBRARY', 'BENNETTA.CERF::DONALDS.KLOPFER::ROBERTK.HAAS', 'ManufacturedintheUnitedStatesofAmerica', 'PrintedbyParkwayPrintingCompany', 'Bound']",3,large their own scope and range and freedom whereas the brangwen men faced inwards to the teeming life of creation which poured unresolved into their veins looking out as she must from the front of her house towards the activity of man in the world at large whilst her husband looked out to the back at sky and harvest and beast and land she strained her eyes to see what man had done in fighting outwards to knowledge she strained to hear how he uttered himself in his conquest her deepest desire hung on the battle that she heard far off being waged on the edge of the unknown she also wanted to know and to be of the fighting host at home even so near as cossethay was the vicar who spoke the other magic language and had the other finer bearing both of which she could perceive but could never attain to the vicar moved in worlds beyond where her own menfolk existed did she not know her own menfolk fresh slow full built men masterful enough but easy native to the earth lacking outwardness and range of motion whereas the vicar dark and dry and small beside her husband had yet a quickness and a range of being that made brangwen in his large geniality seem dull and local she knew her husband but in the vicar s nature was that which passed beyond her knowledge as brangwen had power over the cattle so the vicar had power over her husband what was it in the vicar that raised him above the common men as man is raised above the beast she craved to know she craved to achieve this higher being if not in herself then in her children that which makes a man strong even if he be little and frail in body just as any man is little and frail beside a bull and yet stronger than the bull what was it it was not money nor power nor position what power had the vicar over tom brangwen none yet strip them and set them on a desert island and the vicar was the master his soul was master of the other man s and why why she decided it was a question of knowledge the curate was poor enough and not very efficacious as a man either yet he took rank with those others the superior she watched his children being born she saw them running as tiny things beside their mother and already they were separate from her own children distinct why were her own children marked below the others why should the curate s children inevitably take precedence over her children why should dominance be given them from the start it was not money nor even class it was education and experience she decided it was this this education this higher form of being that the mother wished to give to her children so that they too could live the supreme life on earth for her children at least the children of her heart had the complete nature that should take place in equality with the living vital people in the land not be left behind obscure among the labourers why must they remain obscured and stifled all their lives why should they suffer from lack of freedom to move how should they learn the entry into the finer more vivid circle of life her imagination was fired by the squire s lady at shelly hall who came to church at cossethay with her little children girls in tidy capes of beaver fur and smart little hats herself like a winter rose so fair and delicate so fair so fine in mould so luminous what was it that mrs hardy felt which she mrs brangwen did not feel how was mrs hardy s nature different from that of the common women of cossethay in what was it beyond them all the women of cossethay talked eagerly about mrs hardy of her husband her children her guests her dress of her servants and her housekeeping the lady of the hall was the living dream of their lives her life was the epic that inspired their lives in her they lived imaginatively and in gossiping of her husband who drank of her scandalous brother of lord william bentley her friend member of parliament for the division they had their own odyssey enacting itself penelope and ulysses before them and circe and the swine and the endless web so the women of the village were fortunate they saw themselves in the lady of the manor each of them lived her own fulfilment of the life of mrs hardy and the brangwen wife of the marsh aspired beyond herself towards the further life of the finer woman towards the extended being she revealed as a traveller in his self contained manner reveals far off countries present in himself but why should a knowledge of far off countries make a man s life a different thing finer bigger and why is a man more than the beast and the cattle that serve him it is the same thing the male part of the poem was filled in by such men as the vicar and lord william lean eager men with strange movements men who had command of the further fields whose lives ranged over a great extent ah it was something very desirable to know this touch of the wonderful men who had the power of thought and comprehension the women of the village might be much fonder of tom brangwen and more at their ease with him yet if their lives had been robbed of the vicar and of lord william the leading shoot would have been cut away from them they would have been heavy and uninspired and inclined to hate so long as the wonder of the beyond was before them they could get along whatever their lot and mrs hardy and the vicar and lord william these moved in the wonder of the beyond and were visible to the eyes of cossethay in their motion ii about a canal was constructed across the meadows of the marsh farm connecting the newly opened collieries of the erewash valley a high embankment travelled along the fields to carry the canal which passed close to the homestead and reaching the road went over in a heavy bridge so the marsh was shut off from ilkeston and enclosed in the small valley bed which ended in a bushy hill and the village spire of cosse
607,1898,"['THEBALLADOFREADINGGAOL', 'ByOscarWilde', 'InMemoriam', 'C.T.W.', 'SometimeTrooperoftheRoyalHorseGuards.', 'ObiitH.M.Prison,Reading,Berkshire,', 'July7th,1896', 'PresentedbyProjectGutenbergonthe99thAnniversary.', 'Contents:', 'VersionOne', 'VersionTwo', 'Versi']",3,rank the sun as though it had been wine and i and all the souls in pain who tramped the other ring forgot if we ourselves had done a great or little thing and watched with gaze of dull amaze the man who had to swing and strange it was to see him pass with a step so light and gay and strange it was to see him look so wistfully at the day and strange it was to think that he had such a debt to pay for oak and elm have pleasant leaves that in the spring time shoot but grim to see is the gallows tree with its adder bitten root and green or dry a man must die before it bears its fruit the loftiest place is that seat of grace for which all worldlings try but who would stand in hempen band upon a scaffold high and through a murderer s collar take his last look at the sky it is sweet to dance to violins when love and life are fair to dance to flutes to dance to lutes is delicate and rare but it is not sweet with nimble feet to dance upon the air so with curious eyes and sick surmise we watched him day by day and wondered if each one of us would end the self same way for none can tell to what red hell his sightless soul may stray at last the dead man walked no more amongst the trial men and i knew that he was standing up in the black dock s dreadful pen and that never would i see his face in god s sweet world again like two doomed ships that pass in storm we had crossed each other s way but we made no sign we said no word we had no word to say for we did not meet in the holy night but in the shameful day a prison wall was round us both two outcast men were we the world had thrust us from its heart and god from out his care and the iron gin that waits for sin had caught us in its snare in debtors yard the stones are hard and the dripping wall is high so it was there he took the air beneath the leaden sky and by each side a warder walked for fear the man might die or else he sat with those who watched his anguish night and day who watched him when he rose to weep and when he crouched to pray who watched him lest himself should rob their scaffold of its prey the governor was strong upon the regulations act the doctor said that death was but a scientific fact and twice a day the chaplain called and left a little tract and twice a day he smoked his pipe and drank his quart of beer his soul was resolute and held no hiding place for fear he often said that he was glad the hangman s hands were near but why he said so strange a thing no warder dared to ask for he to whom a watcher s doom is given as his task must set a lock upon his lips and make his face a mask or else he might be moved and try to comfort or console and what should human pity do pent up in murderers hole what word of grace in such a place could help a brother s soul with slouch and swing around the ring we trod the fool s parade we did not care we knew we were the devil s own brigade and shaven head and feet of lead make a merry masquerade we tore the tarry rope to shreds with blunt and bleeding nails we rubbed the doors and scrubbed the floors and cleaned the shining rails and rank by rank we soaped the plank and clattered with the pails we sewed the sacks we broke the stones we turned the dusty drill we banged the tins and bawled the hymns and sweated on the mill but in the heart of every man terror was lying still so still it lay that every day crawled like a weed clogged wave and we forgot the bitter lot that waits for fool and knave till once as we tramped in from work we passed an open grave with yawning mouth the yellow hole gaped for a living thing the very mud cried out for blood to the thirsty asphalte ring and we knew that ere one dawn grew fair some prisoner had to swing right in we went with soul intent on death and dread and doom the hangman with his little bag went shuffling through the gloom and each man trembled as he crept
1535,1882,"['THEFIXEDPERIOD', 'by', 'ANTHONYTROLLOPE', ""Firstpublishedanonymouslyin_Blackwood'sMagazine_in1882."", 'CONTENTS', 'VOLUMEI.', 'I.INTRODUCTION.', 'II.GABRIELCRASWELLER.', 'III.THEFIRSTBREAK-DOWN.', 'IV.JACKNEVERBEND.', 'V.THECRICKET-MATCH.']",3,d that a euthanasia was to be prepared for them and how many as men now are does a euthanasia await and they would depart with the full respect of all their fellow citizens to how many does that lot now fall during the last years of their lives they were to be saved from any of the horrors of poverty how many now lack the comforts they cannot earn for themselves and to them there would be no degraded feeling that they were the recipients of charity they would be prepared for their departure for the benefit of their country surrounded by all the comforts to which at their time of life they would be susceptible in a college maintained at the public expense and each as he drew nearer to the happy day would be treated with still increasing honour i myself had gone most closely into the question of expense and had found that by the use of machinery the college could almost be made self supporting but we should save on an average for each man and woman who had departed when our population should have become a million presuming that one only in fifty would have reached the desired age the sum actually saved to the colony would amount to a year it would keep us out of debt make for us our railways render all our rivers navigable construct our bridges and leave us shortly the richest people on god s earth and this would be effected by a measure doing more good to the aged than to any other class of the community many arguments were used against us but were vain and futile in their conception in it religion was brought to bear and in talking of this the terrible word murder was brought into common use i remember startling the house by forbidding any member to use a phrase so revolting to the majesty of the people murder did any one who attempted to deter us by the use of foul language bethink himself that murder to be murder must be opposed to the law this thing was to be done by the law there can be no other murder if a murderer be hanged in england i mean for in britannula we have no capital punishment is that murder it is not so only because the law enacts it i and a few others did succeed at last in stopping the use of that word then they talked to us of methuselah and endeavoured to draw an argument from the age of the patriarchs i asked them in committee whether they were prepared to prove that the years as spoken of in genesis were the same measure of time as years now and told them that if the sanitary arrangements of the world would again permit men to live as long as the patriarchs we would gladly change the fixed period in fact there was not a word to be said against us except that which referred to the feelings of the young and old feelings are changeable i told them at that great and glorious meeting which we had at gladstonopolis and though naturally governed only by instinct would be taught at last to comply with reason i had lately read how feelings had been allowed in england to stand in the way of the great work of cremation a son will not like you say to lead his father into the college but ought he not to like to do so and if so will not reason teach him to like to do what he ought i can conceive with rapture the pride the honour the affection with which when the fixed period had come i could have led my father into the college there to enjoy for twelve months that preparation for euthanasia which no cares for this world would be allowed to disturb all the existing ideas of the grave would be absent there would be no further struggles to prolong the time of misery which nature had herself produced that temptation to the young to begrudge to the old the costly comforts which they could not earn would be no longer fostered it would be a pride for the young man to feel that his parent s name had been enrolled to all coming time in the bright books of the college which was to be established for the fixed period i have a son of my own and i have carefully educated him to look forward to the day in which he shall deposit me there as the proudest of his life circumstances as i shall relate in this story have somewhat interfered with him but he will i trust yet come back to the right way of thinking that i shall never spend that last happy year within the walls of the college is to me from a selfish point of view the saddest part of england s reassuming our island as a colony my readers will perceive that i am an enthusiast but there are reforms so great that a man cannot but be enthusiastic when he has received into his very soul the truth of any human improvement alas me i shall never live to see carried out the glory of this measure to which i have devoted the best years of my existence the college which has been built under my auspices as a preparation for the happy departure is to be made a chamber of commerce those aged men who were awaiting as i verily believe in impatience the coming day of their perfected dignity have been turned loose in the world and allowed to grovel again with mundane thoughts amidst the idleness of years that are useless our bridges our railways our government are not provided for our young men are again becoming torpid beneath the weight imposed upon them i was in truth wrong to think that so great a reform could be brought to perfection within the days of the first reformers a divine idea has to be made common to men s minds by frequent ventilation before it will be seen to be fit for humanity did not the first christians all suffer affliction poverty and martyrdom how many centuries has it taken in the history of the world to induce it to denounce the not yet abolished theory of slavery a throne a lord and a bishop still remain to encumber the earth what right had i then as the first of the fixed periodists to hope that i might live to see my scheme carried out or that i might be allowed to depart a
2349,1909,"['THEGOVERNORS', 'By', 'E.PHILLIPSOPPENHEIM', 'Authorof""AMakerofHistory,""""TheLongArmof', 'Mannister,""""TheMissioner,""etc.', '1909', 'ILLUSTRATED', 'BYWILLGREFÃ\x89ANDHOWARDSOMERVILLE', 'CONTENTS', 'BOOKI.', 'CHAPTER', 'I.MR.PHINEASDUGE', 'II.COUSINSTELLA', 'III.STORMCLOUDS', 'IV.AMEE']",3,red at all she assured him only you see i have never been in a big city and it is very noisy here isn t it besides i have never seen anything so beautiful as this house i think it frightened me a little he laid his hand upon hers kindly i imagine he said smiling that you will very soon get used to this you will have the opportunity if you choose she laughed softly if i choose she repeated why it is all like fairyland to me he nodded you come he said from a very quiet life you will find things here different do you know what these are he touched a little row of black instruments which stood on the top of his desk she shook her head doubtfully i am not quite sure she admitted they are telephones he said this one touching the first is a private wire to my offices in wall street this one laying a finger upon the second is a private wire to the bank of which i am president these two he continued are connected with the two brokers whom i employ the other three are ordinary telephones two for long distance calls and one for the city when you came in i touched this knob on the floor beneath my foot all the telephones were at once disconnected here and connected with my secretaries room i can sit here at this table and shake the money markets of the world i can send stocks up or down at my will i can ruin if i like or i can enrich it is the fashion nowadays to speak lightly of the mere man of money yet there is no king on his throne who can shake the world as can we kings of the money market by the lifting even of a finger are you a millionaire she asked timidly but of course you must be or you could not live in a house like this he laid his hand gently upon hers yes he said i am a millionaire a good many times over or i should not be of much account in new york but there i have told you enough about myself i sent for you as you know because there are times when i feel a little lonely and i thought that if my sister could spare one of her children it would be a kindly act and one which i might perhaps be able to repay do you think that you would like to live here with me virginia and be mistress of this house she shrank a little away the prospect was not without its terrifying side why i should love it she declared but i simply shouldn t dare to think of it you don t understand i am afraid the way we live down at wellham springs we have really no servants and we do everything ourselves i couldn t attempt to manage a house like this he smiled at her kindly perhaps he said you would find it less difficult than you think there is a housekeeper already who sees to all the practical part of it she only needs to have some one to whom she can refer now and then you would have nothing whatever to do with the managing of the servants the commissariat or anything of that sort yours would be purely social duties i am afraid she answered that i should know even less about them well he said i have some good friends who will give you hints you will find it very much easier than you imagine you have only to be natural acquire the art of listening and wear pretty gowns and you will find it a simple matter to become quite a popular person she nerved herself to ask him a question he looked so kind and good natured that it did not seem possible that he would resent it uncle she said of course i am very glad to be here and it all sounds very delightful but what about stella he leaned back in his chair there was a pained look in his face she was almost sorry that she had mentioned his daughter s name perhaps he said it is as well that you should have asked me that question i have always been an indulgent father as i think you will find me an indulgent uncle but there are certain things certain offences i might say for which i have no forgiveness stella deceived me she made use of information secret information which she acquired in this room to benefit some man in whom she was interested she used my secrets to enrich this person she did this after i had warned her i never warn twice you mean that you sent her away she asked timidly i mean that my doors are closed to her he answered gravely as they would be closed upon you if you behaved as stella has behaved but my dear child he added smiling kindly at her i do not expect this from you i feel sure that what i have said will be sufficient if you will stay with me a little time and take my daughter s place i think you will not find me very stern or very ungrateful now i am going to ring for mrs perrin my housekeeper and she will show you your room to night you and i are going to dine quite alone and we can talk again then by the by do you really mean that you have never been to new york before never she answered i have been to boston twice never anywhere else he smiled well he said the sooner you are introduced to some of its wonders the better we will dine out to night and i will take you to one of the famous restaurants it will suit me better to be somewhere out of the way for an hour or two this evening there is a panic in chicago and illinois but there you wouldn t understand that be ready at o clock but uncle she began he waved his hand i know what you are going to say clothes you will find some evening dresses in your room i have had a collection of things sent round on approval and you will probably be able to find one you can wear ah here is mrs perrin the door had opened and a middle aged lady in a stiff black silk gown had entered the room mrs perrin he said this is my niece she comes from the country she knows nothing tell her everything that she ought to know help her with her clothes and turn her out as well as you can to dine with me at sherry s at ei
26,1913,"['CHILDOFSTORM', 'byH.RIDERHAGGARD', ""Transcriber'sNote:"", 'Whereitalicsareusedtoindicatenon-Englishwords,Ihavesilently', 'omittedthemorreplacedthemwithquotationmarks.', ""Haggard'sspelling,especiallyofZuluterms,iswildlyinconsistent;"", 'likewisehiscapitalization,especiallyofZu']",3,his horse across the tugela and hid with it in a bush clad kopje blindfolding the animal with his coat lest it should betray him as it chanced the great fight of the day that of the regiment of veterans which sir melmoth informed me panda had sent down at the last moment to the assistance of umbelazi his favourite son took place almost at the foot of this kopje mr quatermain in his narrative calls this regiment the amawombe but my recollection is that the name sir melmoth osborn gave them was the greys or upunga whatever their exact title may have been however they made a great stand at least he told me that when umbelazi s impi or army began to give before the usutu onslaught these greys moved forward above strong drawn up in a triple line and were charged by one of cetewayo s regiments the opposing forces met and the noise of their clashing shields said sir melmoth was like the roll of heavy thunder then while he watched the veteran greys passed over the opposing regiment as a wave passes over a rock these were his exact words and leaving about a third of their number dead or wounded among the bodies of the annihilated foe charged on to meet a second regiment sent against them by cetewayo with these the struggle was repeated but again the greys conquered only now there were not more than five or six hundred of them left upon their feet these survivors ran to a mound round which they formed a ring and here for a long while withstood the attack of a third regiment until at length they perished almost to a man buried beneath heaps of their slain assailants the usutu truly they made a noble end fighting thus against tremendous odds as for the number who fell at this battle of endondakusuka mr fynney in a pamphlet which he wrote says that six of umbelazi s brothers died whilst it is estimated that upwards of of the people men women and children were slain a high and indeed an impossible estimate that curious personage named john dunn an englishman who became a zulu chief and who actually fought in this battle as narrated by mr quatermain however puts the number much lower what the true total was will never be known but sir melmoth osborn told me that when he swam his horse back across the tugela that night it was black with bodies and sir theophilus shepstone also told me that when he visited the scene a day or two later the banks of the river were strewn with multitudes of them male and female it was from mr fynney that i heard the story of the execution by cetewayo of the man who appeared before him with the ornaments of umbelazi announcing that he had killed the prince with his own hand of course this tale as mr quatermain points out bears a striking resemblance to that recorded in the old testament in connection with the death of king saul it by no means follows however that it is therefore apocryphal indeed mr fynney assured me that it was quite true although if he gave me his authorities i cannot remember them after a lapse of more than thirty years the exact circumstances of umbelazi s death are unknown but the general report was that he died not by the assegais of the usutu but of a broken heart another story declares that he was drowned his body was never found and it is therefore probable that it sank in the tugela as is suggested in the following pages i have only to add that it is quite in accordance with zulu beliefs that a man should be haunted by the ghost of one whom he has murdered or betrayed or to be more accurate that the spirit umoya should enter into the slayer and drive him mad or in such a case that spirit might bring misfortune upon him his family or his tribe h rider haggard contents i allan quatermain hears of mameena ii the moonshine of zikali iii the buffalo with the cleft horn iv mameena v two bucks and the doe vi the ambush vii saduko brings the marriage gift viii the king s daughter ix allan returns to zululand x the smelling out xi the sin of umbelazi xii panda s prayer xiii umbelazi the fallen xiv umbezi and the blood royal xv mameena claims the kiss xvi mameena mameena mameena chapter i allan quatermain hears of mameena we white people think that we know everything for instance we think that we understand human nature and so we do as human nature appears to us with all its trappings and accessories seen dimly through the glass of our conventions leaving out those aspects of it which we have forgotten or do not think it polite to mention but i allan quatermain reflecting upon these matters in my ignorant and uneducated fashion have always held that no one really understands human nature who has not studied it in the rough well that is the aspect of it with which i have been best acquainted for most of the years of my life i have handled the raw material the virgin ore not the finished ornament that is smelted out of it if indeed it is finished yet which i greatly doubt i dare say that a time may come when the perfected generations if civilisation as we understand it really has a future and any such should be allowed to enjoy their hour on the world will look back to us as crude half developed creatures whose only merit was that we handed on the flame of life maybe maybe for everything goes by comparison and at one end of the ladder is the ape man and at the other as we hope the angel no not the angel he belongs to a different sphere but that last expression of humanity upon which i will not speculate while man is man that is before he suffers the magical death change into spirit if such should be his destiny well he will remain man i mean that the same passions will sway him he will aim at the same ambitions he will know the same joys
1063,1920,"['THEFUNCTIONOFTHEPOET', 'ANDOTHERESSAYS', 'BYJAMESRUSSELLLOWELL', 'COLLECTEDANDEDITEDBY', 'ALBERTMORDELL', 'KENNIKATPRESS,INC./PORTWASHINGTON,N.Y.', 'THEFUNCTIONOFTHEPOET', '1920byHoughtonMifflinCompany', 'Reissuedin1967byKennikatPress', 'PREFACE', 'TheCentenaryCelebrationofJamesR']",3,figures of speech makers shows lowell s satirical powers at their best ferris greenslet tells us in his book on lowell that the philip vandal whose eloquence lowell ridicules is wendell phillips the essay gives lowell s humorous comments on various matters especially on contemporary types of orators reformers and heroes it represents lowell as he is most known to us the lowell who is always ready with fun and who set the world agog with his biglow papers lowell s work as a critic dates from the rare volume conversations on some of the old poets published in in his twenty fifth year includes his best known volumes among my books and my study windows and most fitly concludes with the latest literary essays published in the year of his death in my sincere hope is that this book will not be found to be an unworthy successor to these volumes though some of lowell s literary opinions are old fashioned to us one author even wrote an entire volume to demolish lowell s reputation as a critic there is much in his work that the world will not let die he is highly regarded abroad and he is one of the few men in our literature who produced creative criticism thanks and acknowledgments are due the century magazine and the literary representatives of lowell for permission to reprint in this volume the first five essays which are copyrighted and were published in the century magazine albert mordell philadelphia january contents on poetry and belles lettres the function of the poet with note by charles eliot norton century magazine january humor wit fun and satire with note by charles eliot norton century magazine november the five indispensable authors homer dante cervantes goethe shakespeare century magazine december the imagination century magazine march critical fragments century magazine may i life in literature and language ii style and manner iii kalevala reviews of contemporaries henry james james s tales and sketches the nation june longfellow the courtship of miles standish atlantic monthly january tales of a wayside inn north american review january whittier in war time and other poems north american review january home ballads and poems atlantic monthly november snow bound a winter idyl north american review april poetry and nationality north american review october w d howells venetian life north american review october edgar a poe graham s magazine february r w griswold s edition of poe s works thackeray roundabout papers north american review april two great authors swift forster s life of swift the nation april and plutarch s morals north american review april a plea for freedom from speech and figures of speech makers atlantic monthly december on poetry and belles lettres the function of the poet this was the concluding lecture in the course which lowell read before the lowell institute in the winter of doubtless lowell never printed it because as his genius matured he felt that its assertions were too absolute and that its style bore too many marks of haste in composition and was too rhetorical for an essay to be read in print how rapid was the growth of his intellectual judgment and the broadening of his imaginative view may be seen by comparing it with his essays on swinburne on percival and on rousseau published in and essays in which the topics of this lecture were touched upon anew though not treated at large but the spirit of this lecture is so fine its tone so full of the enthusiasm of youth its conception of the poet so lofty and the truths it contains so important that it may well be prized as the expression of a genius which if not yet mature is already powerful and aquiline alike in vision and in sweep of wing it is not unworthy to stand with sidney s and with shelley s defence of poesy and it is fitted to warm and inspire the poetic heart of the youth of this generation no less than of that to which it was first addressed as a close to the lecture lowell read his beautiful then unpublished poem to the muse charles eliot norton whether as some philosophers assume we possess only the fragments of a great cycle of knowledge in whose centre stood the primeval man in friendly relation with the powers of the universe and build our hovels out of the ruins of our ancestral palace or whether according to the development theory of others we are rising gradually and have come up out of an atom instead of descending from an adam so that the proudest pedigree might run up to a barnacle or a zoophyte at last are questions that will keep for a good many centuries yet confining myself to what little we can learn from history we find tribes rising slowly out of barbarism to a higher or lower point of culture and civility and everywhere the poet also is found under one name or other changing in certain outward respects but essentially the same and however far we go back we shall find this also that the poet and the priest were united originally in the same person which means that the poet was he who was conscious of the world of spirit as well as that of sense and was the ambassador of the gods to men this was his highest function and hence his name of seer he was the discoverer and declarer of the perennial beneath the deciduous his were the epea pteroenta the true winged words that could fly down the unexplored future and carry the names of ancestral heroes of the brave and wise and good it was thus that the poet could reward virtue and by and by as society grew more complex could burn in the brand of shame
