text,info,date
"That same night, I wrote my first short story. It took me thirty minutes. It was a dark little tale about a man who found a magic cup and learned that if he wept into the cup, his tears turned into pearls. But even though he had always been poor, he was a happy man and rarely shed a tear. So he found ways to make himself sad so that his tears could make him rich. As the pearls piled up, so did his greed grow. The story ended with the man sitting on a mountain of pearls, knife in hand, weeping helplessly into the cup with his beloved wife's slain body in his arms",Kite Runner,2003
"I know a woman here in Toronto who is very dear to my heart. She was my foster mother. I call her Auntieji and she likes that. She is Quebecoise. Though she has lived in Toronto for over thirty years, her French-speaking mind still slips on occasion on the understanding of English sounds. And so, when she first heard of Hare Krishnas, she didn't hear right. She heard ""Hairless Christians"", and that is what they were to her for many years. When I corrected her, I told her that in fact she was not so wrong; that Hindus, in their capacity for love, are indeed hairless Christians, just as Muslims, in the way they see God in everything, are bearded Hindus, and Christians, in their devotion to God, are hat-wearing Muslims.",Life of pi,2001
"Sophie stopped the taxi at an imposing gate that blocked the bank’s driveway—a cement-lined ramp that descended beneath the building. A video camera overhead was aimed directly at them, and Langdon had the feeling that this camera, unlike those at the Louvre, was authentic. Sophie rolled down the window and surveyed the electronic podium on the driver’s side. An LCD screen provided directions in seven languages. Topping the list was English.",The da vinci code,2003
"A lie is when you say something happened which didn't happen. But there is only ever one thing which happened at a particular time and a particular place. And there are an infinite number of things which didn't happen at that time and that place. And if I think about something which didn't happen I start thinking about all the other things which didn't happen.
For example, this morning for breakfast I had Ready Brek and some hot raspberry milkshake. But if I say that I actually had Shreddies and a mug of tea I start thinking about Coco-Pops and lemonade and Porridge and Dr Pepper and how I wasn't eating my breakfast in Egypt and there wasn't a rhinoceros in the room and Father wasn't wearing a diving suit and so on and even writing this makes me feel shaky and scared, like I do when I'm standing on the top of a very tall building and there are thousands of houses and cars and people below me and my head is so full of all these things that I'm afraid that I'm going to forget to stand up straight and hang onto the rail and I'm going to fall over and be killed.",The curious incident of the dog in the night,2003
"I didn't see him leap me - it was much too fast. I only found myself suddenly airborne, and then we crashed onto the sofa, knocking it into the wall. All the while, his arms formed an iron cage of protection around me - I was barely jostled. But I still was gasping as I tried to right myself. He wasn't having that. He curled me into a ball against his chest, holding me more securely than iron chains. I glared at him in alarm, but he seemed well in control, his jaw relaxed as he grinned, his eyes bright only with humor.",Twilight,2005
"Now and then, an inch below the water's surface, the muscles of his stomach tightened involuntarily as he recalled another detail. A drop of water on her upper arm. Wet. An embroidered flower, a simple daisy, sewn between the cups of her bra. Her breasts wide apart and small. On her back, a mole half covered by a strap. When she climbed out of the pond a glimpse of the triangular darkness her knickers were supposed to conceal. Wet. He saw it, he made himself see it again. The way her pelvic bones stretched the material clear of the skin, the deep curve of her waist, her startling whiteness. When she reached for her skirt, a carelessly raised foot revealed a patch of soil on each pad of her sweetly diminished toes. Another mole the size of a farthing on her thigh and something purplish on her calf--a strawberry mark, a scar. Not blemishes. Adornments.",Atonement,2001
"That was the only time, as I stood there, looking at that strange rubbish, feeling the wind coming across those empty fields, that I started to imagine just a little fantasy thing, because this was Norfolk after all, and it was only a couple of weeks since I’d lost him. I was thinking about the rubbish, the flapping plastic in the branches, the shore-line of odd stuff caught along the fencing, and I half-closed my eyes and imagined this was the spot where everything I'd ever lost since my childhood had washed up, and I was now standing here in front of it, and if I waited long enough, a tiny figure would appear on the horizon across the field, and gradually get larger until I'd see it was Tommy, and he'd wave, maybe even call. The fantasy never got beyond that --I didn't let it-- and though the tears rolled down my face, I wasn't sobbing or out of control. I just waited a bit, then turned back to the car, to drive off to wherever it was I was supposed to be.",never let me go,2005
"Emotions, in my experience, aren't covered by single words. I don't believe in ""sadness,"" ""joy,"" or ""regret."" Maybe the best proof that the language is patriarchal is that it oversimplifies feeling. I'd like to have at my disposal complicated hybrid emotions, Germanic train-car constructions like, say, ""the happiness that attends disaster."" Or: ""the disappointment of sleeping with one's fantasy."" I'd like to show how ""intimations of mortality brought on by aging family members"" connects with ""the hatred of mirrors that begins in middle age."" I'd like to have a word for ""the sadness inspired by failing restaurants"" as well as for ""the excitement of getting a room with a minibar."" I've never had the right words to describe my life, and now that I've entered my story, I need them more than ever.",middlesex,2002
"""Much better,"" he approved.”",the road,2006
"It's a funny thing about the modern world. You hear girls in the toilets of clubs saying, ""Yeah, he fucked off and left me. He didn't love me. He just couldn't deal with love. He was too fucked up to know how to love me."" Now, how did that happen? What was it about this unlovable century that convinced us we were, despite everything, eminently lovable as a people, as a species? What made us think that anyone who fails to love us is damaged, lacking, malfunctioning in some way? And particularly if they replace us with a god, or a weeping madonna, or the face of Christ in a ciabatta roll---then we call them crazy. Deluded. Regressive. We are so convinced of the goodness of ourselves, and the goodness of our love, we cannot bear to believe that there might be something more worthy of love than us, more worthy of worship. Greeting cards routinely tell us everybody deserves love. No. Everybody deserves clean water. Not everybody deserves love all the time.",the white teeth ,1999
