iter	MultiClass
0	1.784156914
1	1.77790015
2	1.771034613
3	1.764523117
4	1.758443895
5	1.754240524
6	1.748196952
7	1.742718885
8	1.737487589
9	1.733018235
10	1.727835237
11	1.722392703
12	1.714720425
13	1.710344015
14	1.704460638
15	1.698290626
16	1.692166003
17	1.687225929
18	1.682449044
19	1.678069864
20	1.673351718
21	1.669317026
22	1.664218862
23	1.659053977
24	1.654964269
25	1.649765266
26	1.644116079
27	1.638999845
28	1.635460497
29	1.631237204
30	1.62592464
31	1.620122619
32	1.615696227
33	1.610718067
34	1.608251669
35	1.602190908
36	1.599204448
37	1.596080298
38	1.593613578
39	1.591794504
40	1.588441433
41	1.584042838
42	1.580874163
43	1.576566565
44	1.573130823
45	1.569807998
46	1.563845833
47	1.55840426
48	1.55484121
49	1.55390551
50	1.550867539
51	1.54715631
52	1.543953846
53	1.539994449
54	1.538133894
55	1.536070071
56	1.530985561
57	1.525791531
58	1.523652361
59	1.521051948
60	1.517583585
61	1.516909507
62	1.514598077
63	1.513486226
64	1.510027112
65	1.506162692
66	1.502321473
67	1.498963403
68	1.498425093
69	1.494016836
70	1.491587937
71	1.489598532
72	1.488189506
73	1.485496544
74	1.482495266
75	1.48005598
76	1.477481743
77	1.47471385
78	1.472912258
79	1.469125045
80	1.466251276
81	1.463026192
82	1.461840303
83	1.460607628
84	1.459034405
85	1.456520927
86	1.453350803
87	1.449830817
88	1.447128758
89	1.446347344
90	1.44351605
91	1.440898009
92	1.439799094
93	1.437679606
94	1.43603524
95	1.435160389
96	1.432533111
97	1.429227964
98	1.42629426
99	1.42404347
100	1.421968199
101	1.42046909
102	1.417443346
103	1.414873018
104	1.413415231
105	1.411057704
106	1.40973317
107	1.408971094
108	1.407374943
109	1.407019231
110	1.405840354
111	1.403578806
112	1.399213926
113	1.398687203
114	1.397256406
115	1.39687071
116	1.394524953
117	1.392886751
118	1.389759365
119	1.385323224
120	1.382905116
121	1.3811613
122	1.379893567
123	1.378354795
124	1.376716093
125	1.373696176
126	1.372577095
127	1.369935752
128	1.367956192
129	1.366705341
130	1.363724825
131	1.361205442
132	1.360372195
133	1.359643939
134	1.359003664
135	1.358722195
136	1.35809944
137	1.35785338
138	1.355648984
139	1.354497902
140	1.352355493
141	1.352088016
142	1.351678987
143	1.349466865
144	1.347520954
145	1.34556734
146	1.345171487
147	1.343530512
148	1.342593376
149	1.342010704
150	1.340939455
151	1.337501941
152	1.336358282
153	1.335507051
154	1.335283328
155	1.333776391
156	1.332525961
157	1.330209381
158	1.329141086
159	1.32877563
160	1.327561954
161	1.326924455
162	1.325829763
163	1.323210979
164	1.321995658
165	1.32167849
166	1.320451216
167	1.319867247
168	1.318871713
169	1.316498377
170	1.314830907
171	1.3131333
172	1.311170946
173	1.309683426
174	1.307116628
175	1.306864724
176	1.306376716
177	1.305883185
178	1.304813591
179	1.304288905
180	1.30331182
181	1.300330864
182	1.299721776
183	1.29930636
184	1.297499834
185	1.296222443
186	1.295261614
187	1.294797228
188	1.29423978
189	1.293069561
190	1.291342767
191	1.290573106
192	1.290249308
193	1.290010165
194	1.288990274
195	1.28798579
196	1.284155185
197	1.282406879
198	1.281483771
199	1.278661496
200	1.276392304
201	1.275059086
202	1.27355189
203	1.273173376
204	1.272147053
205	1.271450904
206	1.267759956
207	1.266852877
208	1.264982474
209	1.264667555
210	1.263435413
211	1.26218831
212	1.261364331
213	1.26077637
214	1.259695942
215	1.258803724
216	1.256417518
217	1.255209384
218	1.254888274
219	1.254698336
220	1.254381055
221	1.25263794
222	1.251010181
223	1.249502264
224	1.24615133
225	1.244667416
226	1.242867156
227	1.240994038
228	1.239232085
229	1.237792453
230	1.234703341
231	1.233925506
232	1.231746719
233	1.229981473
234	1.229600565
235	1.227091238
236	1.224927189
237	1.223076966
238	1.221373184
239	1.219289487
240	1.217115824
241	1.214416608
242	1.213183473
243	1.211968424
244	1.211439256
245	1.210332625
246	1.206923958
247	1.205445641
248	1.202793061
249	1.201663753
250	1.20090824
251	1.198527418
252	1.194289556
253	1.191034789
254	1.190281296
255	1.188500682
256	1.187360676
257	1.186821475
258	1.185000597
259	1.181992282
260	1.18049053
261	1.179622768
262	1.178327651
263	1.176217956
264	1.174768043
265	1.171387929
266	1.168965171
267	1.167261342
268	1.163818411
269	1.16224159
270	1.160014082
271	1.157829782
272	1.156372099
273	1.153307691
274	1.151518437
275	1.149936487
276	1.147607062
277	1.14544412
278	1.143166744
279	1.140522519
280	1.138142831
281	1.135437017
282	1.132925822
283	1.131688857
284	1.130351881
285	1.128696576
286	1.127022098
287	1.124171052
288	1.121220165
289	1.119726219
290	1.116278516
291	1.114714322
292	1.112607241
293	1.112075075
294	1.110141434
295	1.108295947
296	1.106405549
297	1.104417596
298	1.101923302
299	1.100667213
300	1.098981171
301	1.097466138
302	1.096040661
303	1.095112429
304	1.093654908
305	1.092667496
306	1.090930141
307	1.087824982
308	1.085877975
309	1.083309691
310	1.0819277
311	1.080224646
312	1.078992789
313	1.076741299
314	1.075414895
315	1.073532629
316	1.07199987
317	1.070698249
318	1.068543799
319	1.066922129
320	1.065124188
321	1.063336758
322	1.06147397
323	1.060179876
324	1.05844512
325	1.0572389
326	1.055302031
327	1.051776774
328	1.050194847
329	1.048876432
330	1.047637199
331	1.045707756
332	1.044399473
333	1.043224739
334	1.041587821
335	1.03932529
336	1.037813282
337	1.036353232
338	1.035385261
339	1.033842303
340	1.032348663
341	1.031581095
