iter	Passed	Remaining
0	12056	14456003
1	24274	14540602
2	36573	14592746
3	48731	14570593
4	60898	14554649
5	73166	14560226
6	85460	14564827
7	97628	14546660
8	109791	14529088
9	122573	14586291
10	135363	14631596
11	148519	14703395
12	161059	14705968
13	173747	14718924
14	186397	14725372
15	199496	14762755
16	212797	14808178
17	225899	14834071
18	239019	14856931
19	252013	14868785
20	265171	14887466
21	278168	14894633
22	291249	14904369
23	304067	14899294
24	316713	14885551
25	329466	14876664
26	342037	14859624
27	354089	14821177
28	366162	14785395
29	378252	14751862
30	390367	14720618
31	402502	14691323
32	414697	14665214
33	426791	14636447
34	438909	14609406
35	451437	14596490
36	463587	14571680
37	475670	14545488
38	487902	14524478
39	499913	14497497
40	512215	14479459
41	524491	14460967
42	536765	14442734
43	548823	14419098
44	560997	14398942
45	573448	14386085
46	585575	14365287
47	597795	14347086
48	609790	14323853
49	622005	14306128
50	634240	14289073
51	646408	14270707
52	658726	14255834
53	670859	14237134
54	683125	14221432
55	695521	14208500
56	707668	14190618
57	719995	14176455
58	732218	14160357
59	744665	14148649
60	756688	14128979
61	768874	14112576
62	781163	14098136
63	793512	14084840
64	805675	14068329
65	817913	14053236
66	830108	14037504
67	842423	14023870
68	854686	14009431
69	866924	13994644
70	879147	13979688
71	891361	13964669
72	903349	13946232
73	915805	13935094
74	928066	13921000
75	940317	13906794
76	952497	13891621
77	964797	13878245
78	976994	13863432
79	989234	13849283
80	1001477	13835226
81	1013648	13820237
82	1025921	13806683
83	1038234	13793692
84	1050697	13782674
85	1063059	13770330
86	1075400	13757711
87	1087593	13743231
88	1099822	13729242
89	1112124	13716206
90	1124543	13704607
91	1136784	13690833
92	1149092	13677907
93	1161425	13665281
94	1173682	13651782
95	1185894	13637782
96	1198057	13623271
97	1210239	13609015
98	1222445	13595073
99	1234779	13582574
100	1247068	13569592
101	1259216	13555099
102	1271450	13541566
103	1283642	13527619
104	1295898	13514374
105	1308357	13503240
106	1320722	13491122
107	1332917	13477279
108	1345447	13466814
109	1357713	13453706
110	1370141	13442194
111	1382382	13428854
112	1394714	13416409
113	1407025	13403766
114	1419336	13391130
115	1431617	13378222
116	1443823	13364624
117	1455988	13350670
118	1468149	13336721
119	1480394	13323548
120	1492604	13310085
121	1504971	13298027
122	1517317	13285783
123	1529530	13272377
124	1541825	13259701
125	1554088	13246752
126	1566096	13231667
127	1578099	13216581
128	1590402	13204038
129	1602709	13191530
130	1614897	13178054
131	1627126	13164933
132	1639357	13151837
133	1651754	13140073
134	1664205	13128733
135	1676556	13116590
136	1688754	13103257
137	1701045	13090653
138	1713378	13078380
139	1725600	13065258
140	1737831	13052225
141	1750172	13040017
142	1762439	13027260
143	1774882	13015804
144	1787148	13003046
145	1799537	12991183
146	1811683	12977567
147	1823902	12964494
148	1836026	12950763
149	1848341	12938393
150	1860756	12926712
151	1872993	12913799
152	1885288	12901286
153	1897477	12888063
154	1909711	12875150
155	1921992	12862567
156	1934226	12849669
157	1946666	12838145
158	1958868	12825043
159	1971146	12812452
160	1983507	12800397
161	1995791	12787850
162	2007965	12774604
163	2020292	12762337
164	2032617	12750054
165	2044788	12736814
166	2056991	12723783
167	2069371	12711850
168	2081543	12698649
169	2093588	12684683
170	2105863	12672124
171	2118089	12659278
172	2130330	12646530
173	2142642	12634199
174	2154995	12622116
175	2167270	12609574
176	2179474	12596621
177	2191752	12584108
178	2204135	12572192
179	2216525	12560312
180	2228735	12547412
181	2241077	12535257
182	2253472	12523398
183	2265824	12511289
184	2278182	12499219
185	2290469	12486753
186	2302672	12473835
187	2314918	12461158
188	2327114	12448217
189	2339330	12435390
190	2351683	12423289
191	2363979	12410892
192	2376267	12398454
193	2388494	12385697
194	2400859	12373661
195	2413193	12361463
196	2425563	12349442
197	2437870	12337101
198	2450068	12324213
199	2462471	12312359
200	2474658	12299422
201	2486942	12286975
202	2499103	12273921
203	2511249	12260803
204	2523465	12248037
205	2535707	12235405
206	2548293	12224422
207	2560742	12212771
208	2573137	12200858
209	2585119	12186991
210	2597534	12175175
211	2609794	12162626
212	2622014	12149900
213	2634282	12137396
214	2646763	12125872
215	2658957	12113029
216	2671400	12101321
217	2683710	12089006
218	2695612	12074868
